username,count_activity
73ad065c121d1db8a2c083a29ce00eb84f3517b4,2651
983b55031cce9da3e186a94dd9a4c7635909b83d,2644
7b0a9c9b8f82a5a367cb07569bcd55420dd7942f,2634
1b72f9e9f3ab93589e4d77e5596ff4cfff39b1f4,2619
edf08742f6b6a203abd51e4db77a04e2ccffb7b4,2619
42f362e1bebe866377ed3b588a7b3016f4a96eb3,2536
e7da7463bf3fc01b312e63b21ebd1f5c4eb1b595,2532
de654c88ebfa22171cd7c8be44a64acf20537b88,2525
cb027d6fc1a11036e9561dfda3bff869beb52f26,2515
9fb475760c4c49d18b92175e2311dd29fd21272e,2507
3ab5b7ef0aa50ffc094d905c2b3e8abbf78acf7c,2499
79416477d7daa996c48ae208c86354327e9b17b5,2496
b9b85a86bf4f00a7da05dd64a6ad2934163433f2,2460
e94dd2590aae3fed0bf98fd1ab01bf28fe258453,2456
7fd3a17585939d1bb9bd82e9ef8fb300b66f89df,2453
da83d7163e24b34330c2460e72f33d381e01cfec,2427
d851f993a4d0a439cd1b16a1968523b5b4f34d40,2418
910a0e6309bdf253ba7a33e9e6a3fe14db7f6e74,2400
da25ad68ce3e096db465ed7bb9e4e84688f00cfd,2388
6e19e8bbe9d4ff7cb0fb7bbe8ee1d84e70c68f83,2382
073f7fc6cc9bf5ea99a75b4a9c4960910afb5707,2372
10bd85261d70015e7d7b45b2d54450b2d8954f17,2371
e6381face60c6b587c98f5e1de24d8c982ed7b27,2361
b9b21161f8dcd5d918b546406d729008814713b2,2354
416f6245256101ef31c7df61d62b878b6bb2a44d,2344
e824ee351466fba9d27963bd051473c439019e86,2318
763f34796e6f31c59c55cf6a0af0b2761459e45a,2315
b3b643747f28d460f4622d03ee010bfa2ac3ec9b,2310
a9f6542c19d60bb8e937b82e6c9ce1a5be433fdb,2301
259c199f3f52b93bbc9a2ce9c321958789d15e3d,2283
ef5eeb548e133a4fc149d719d93406f453753044,2278
176dc9f434a80d218f05d53fda65f9d09e28f185,2267
23f2395562f9f5c63a5299e191959296db001d12,2259
91146c1fb5f96a90cf69b48e17afe9d07352ced6,2242
bf9d115ed0b790579a4109aebf34faed3b68cf96,2241
9ce3680f9f0668783f74cc74bebfa20b13bb7680,2193
0a9b9bd0d9a1aa1518e6a86b66139c8480a91f0d,2179
1ba9363547991336ff6be8419e30e2551942be78,2177
637197a75f9ce9a2a8af7687214ffbaa9a885a5f,2156
5d8c5d4f0a7b78ab193437fee08093c8f2499158,2125
340015b985ec3baa5cebef6b1ab741b07ae7e5fd,2124
1596eb7b6cd9c79cf4131e08bce1482354716860,2113
d408fc56bf45df68decd514e0f46f6a926a15059,2109
ddf9f7b46a9321d50f8f170d72cca21010590fe5,2096
75932c86960f8a26174f962aeb1ce4f24ab769aa,2094
7476a721ae785f8a1071d7f3c7ab53c72f34ba6f,2094
5b7e88b70f28afa3bdec5e648eb96ddbd741013a,2092
b9d77fc8935086c17f8c79c7fce95f168b9352f9,2091
9fd9884873bddd9893fd054c158099ea99b2879a,2089
dd991af6bdb79f32624c515919ff88eb14b0d97c,2085
1706bf5b44110ec351e9adb39f1ba0eb15a43290,2085
93876dd945a3b0b1a2eb5469748dabc1e2819511,2079
728a8ca729e62014cf146709f8dfceddb3afc170,2073
56d3cc6e6c81d9c025e37e5c5c222fb5f93f632e,2069
736cc93d59cc7d2e24121843b55b7c7c442bc8c4,2067
19e9222f5ff6f08c1089c58f6af6fb10299b3de7,2064
eaaef2b5b06d4712bda97cce00e4cd332e3fefbb,2057
2443914d7df99a07d85c122d6b684fc8c64465c9,2039
0a80ce9145e6e52ea8cc7ac89b57cb916abc8c47,2033
470bd3238106f593472b9861dbe526105c44e6b0,2017
526fef092f99f205d0fd9a2025ff2c6b9f64a3c5,2017
2b40a4b10f33bf94828243197597b9bfd483b0b7,2015
08dbc09f6965d417b7969c0267dd4933171c3b2d,2001
febad0b18bd25ba91cebe292d2eab17dcdf47524,1999
2032dda6fc0b0eac7e3e13bec8cd64633d01193c,1999
bafe5b12192996efcca548697093a3f9a0e295cd,1995
758828cf4cf5aebd528efd9f8dcb84cae83b4137,1993
af8e1b1971b59196df30c4afa7942c5fe77dc593,1989
62687d0c0b085ff9a1787b9cea2ce511b21c8902,1983
6e6c7e73a8b079b9a2930b35de2bdd954ae83777,1974
e659dbc31af00cb00bb5078826edf26404de4542,1973
f3a6b501bfb41d268b0af1a09215ab2882fc51d7,1970
95fab1706089b435e5edcb112109be3b1b14adb7,1964
65d019d68323634eb346983bfb166787e247db0d,1963
